# T 673:1473:10
# C 0:0.015:11j
# Mn 1e-06:0.03:5j
# Si 1e-06:0.03:5j
# Cr 1e-06:0.03:5j
# Ni 1e-06:0.03:5j
file,macro,C,Mn,Si,Cr,Ni,A1,A1prime,A3,eutectoid
../results/00000.DAT,../macros_thermocalc/macro_1.tcm,0.0,1e-06,1e-06,1e-06,1e-06,,,1184.8,hipo
../results/00001.DAT,../macros_thermocalc/macro_1.tcm,0.0,1e-06,1e-06,1e-06,0.00750075,,,1153.41,hipo
../results/00002.DAT,../macros_thermocalc/macro_1.tcm,0.0,1e-06,1e-06,1e-06,0.015000499999999996,,,1126.4,hipo
../results/00003.DAT,../macros_thermocalc/macro_1.tcm,0.0,1e-06,1e-06,1e-06,0.02250025,,,1102.75,hipo
../results/00004.DAT,../macros_thermocalc/macro_1.tcm,0.0,1e-06,1e-06,1e-06,0.03,,,1081.8,hipo
../results/00005.DAT,../macros_thermocalc/macro_1.tcm,0.0,1e-06,1e-06,0.00750075,1e-06,,,1173.19,hipo
../results/00006.DAT,../macros_thermocalc/macro_1.tcm,0.0,1e-06,1e-06,0.00750075,0.00750075,,,1143.07,hipo
../results/00007.DAT,../macros_thermocalc/macro_1.tcm,0.0,1e-06,1e-06,0.00750075,0.015000499999999996,,,1117.07,hipo
../results/00008.DAT,../macros_thermocalc/macro_1.tcm,0.0,1e-06,1e-06,0.00750075,0.02250025,,,1094.26,hipo
../results/00009.DAT,../macros_thermocalc/macro_1.tcm,0.0,1e-06,1e-06,0.00750075,0.03,,,1074.01,hipo
../results/00010.DAT,../macros_thermocalc/macro_1.tcm,0.0,1e-06,1e-06,0.015000499999999996,1e-06,,,1162.98,hipo
../results/00011.DAT,../macros_thermocalc/macro_1.tcm,0.0,1e-06,1e-06,0.015000499999999996,0.00750075,,,1133.85,hipo
../results/00012.DAT,../macros_thermocalc/macro_1.tcm,0.0,1e-06,1e-06,0.015000499999999996,0.015000499999999996,,,1108.67,hipo
../results/00013.DAT,../macros_thermocalc/macro_1.tcm,0.0,1e-06,1e-06,0.015000499999999996,0.02250025,,,1086.54,hipo
../results/00014.DAT,../macros_thermocalc/macro_1.tcm,0.0,1e-06,1e-06,0.015000499999999996,0.03,,,1066.89,hipo
../results/00015.DAT,../macros_thermocalc/macro_1.tcm,0.0,1e-06,1e-06,0.02250025,1e-06,,,1154.05,hipo
../results/00016.DAT,../macros_thermocalc/macro_1.tcm,0.0,1e-06,1e-06,0.02250025,0.00750075,,,1125.68,hipo
../results/00017.DAT,../macros_thermocalc/macro_1.tcm,0.0,1e-06,1e-06,0.02250025,0.015000499999999996,,,1101.14,hipo
../results/00018.DAT,../macros_thermocalc/macro_1.tcm,0.0,1e-06,1e-06,0.02250025,0.02250025,,,1079.57,hipo
../results/00019.DAT,../macros_thermocalc/macro_1.tcm,0.0,1e-06,1e-06,0.02250025,0.03,,,1060.41,hipo
../results/00020.DAT,../macros_thermocalc/macro_1.tcm,0.0,1e-06,1e-06,0.03,1e-06,,,1146.35,hipo
../results/00021.DAT,../macros_thermocalc/macro_1.tcm,0.0,1e-06,1e-06,0.03,0.00750075,,,1118.5,hipo
../results/00022.DAT,../macros_thermocalc/macro_1.tcm,0.0,1e-06,1e-06,0.03,0.015000499999999996,,,1094.44,hipo
../results/00023.DAT,../macros_thermocalc/macro_1.tcm,0.0,1e-06,1e-06,0.03,0.02250025,,,1073.31,hipo
