# C 0:0.015:11
# Mn 1e-06:0.03:5
# Si 1e-06:0.03:5
# Cr 1e-06:0.03:5
# Ni 1e-06:0.03:5
file,macro,C,Mn,Si,Cr,Ni
../results/00000.DAT,../macros_thermocalc/macro_1.tcm,0.0,1e-06,1e-06,1e-06,1e-06
../results/00001.DAT,../macros_thermocalc/macro_1.tcm,0.0,1e-06,1e-06,1e-06,0.00750075
../results/00002.DAT,../macros_thermocalc/macro_1.tcm,0.0,1e-06,1e-06,1e-06,0.015000499999999998
../results/00003.DAT,../macros_thermocalc/macro_1.tcm,0.0,1e-06,1e-06,1e-06,0.02250025
../results/00004.DAT,../macros_thermocalc/macro_1.tcm,0.0,1e-06,1e-06,1e-06,0.03
../results/00005.DAT,../macros_thermocalc/macro_1.tcm,0.0,1e-06,1e-06,0.00750075,1e-06
../results/00006.DAT,../macros_thermocalc/macro_1.tcm,0.0,1e-06,1e-06,0.00750075,0.00750075
../results/00007.DAT,../macros_thermocalc/macro_1.tcm,0.0,1e-06,1e-06,0.00750075,0.015000499999999998
../results/00008.DAT,../macros_thermocalc/macro_1.tcm,0.0,1e-06,1e-06,0.00750075,0.02250025
../results/00009.DAT,../macros_thermocalc/macro_1.tcm,0.0,1e-06,1e-06,0.00750075,0.03
../results/00010.DAT,../macros_thermocalc/macro_1.tcm,0.0,1e-06,1e-06,0.015000499999999998,1e-06
../results/00011.DAT,../macros_thermocalc/macro_1.tcm,0.0,1e-06,1e-06,0.015000499999999998,0.00750075
../results/00012.DAT,../macros_thermocalc/macro_1.tcm,0.0,1e-06,1e-06,0.015000499999999998,0.015000499999999998
../results/00013.DAT,../macros_thermocalc/macro_1.tcm,0.0,1e-06,1e-06,0.015000499999999998,0.02250025
../results/00014.DAT,../macros_thermocalc/macro_1.tcm,0.0,1e-06,1e-06,0.015000499999999998,0.03
../results/00015.DAT,../macros_thermocalc/macro_1.tcm,0.0,1e-06,1e-06,0.02250025,1e-06
../results/00016.DAT,../macros_thermocalc/macro_1.tcm,0.0,1e-06,1e-06,0.02250025,0.00750075
../results/00017.DAT,../macros_thermocalc/macro_1.tcm,0.0,1e-06,1e-06,0.02250025,0.015000499999999998
../results/00018.DAT,../macros_thermocalc/macro_1.tcm,0.0,1e-06,1e-06,0.02250025,0.02250025
../results/00019.DAT,../macros_thermocalc/macro_1.tcm,0.0,1e-06,1e-06,0.02250025,0.03
../results/00020.DAT,../macros_thermocalc/macro_1.tcm,0.0,1e-06,1e-06,0.03,1e-06
../results/00021.DAT,../macros_thermocalc/macro_1.tcm,0.0,1e-06,1e-06,0.03,0.00750075
../results/00022.DAT,../macros_thermocalc/macro_1.tcm,0.0,1e-06,1e-06,0.03,0.015000499999999998
../results/00023.DAT,../macros_thermocalc/macro_1.tcm,0.0,1e-06,1e-06,0.03,0.02250025
../results/00024.DAT,../macros_thermocalc/macro_1.tcm,0.0,1e-06,1e-06,0.03,0.03
../results/00025.DAT,../macros_thermocalc/macro_1.tcm,0.0,1e-06,0.00750075,1e-06,1e-06
../results/00026.DAT,../macros_thermocalc/macro_1.tcm,0.0,1e-06,0.00750075,1e-06,0.00750075
../results/00027.DAT,../macros_thermocalc/macro_1.tcm,0.0,1e-06,0.00750075,1e-06,0.015000499999999998
../results/00028.DAT,../macros_thermocalc/macro_1.tcm,0.0,1e-06,0.00750075,1e-06,0.02250025
../results/00029.DAT,../macros_thermocalc/macro_1.tcm,0.0,1e-06,0.00750075,1e-06,0.03
../results/00030.DAT,../macros_thermocalc/macro_1.tcm,0.0,1e-06,0.00750075,0.00750075,1e-06
../results/00031.DAT,../macros_thermocalc/macro_1.tcm,0.0,1e-06,0.00750075,0.00750075,0.00750075
../results/00032.DAT,../macros_thermocalc/macro_1.tcm,0.0,1e-06,0.00750075,0.00750075,0.015000499999999998
../results/00033.DAT,../macros_thermocalc/macro_1.tcm,0.0,1e-06,0.00750075,0.00750075,0.02250025
../results/00034.DAT,../macros_thermocalc/macro_1.tcm,0.0,1e-06,0.00750075,0.00750075,0.03
../results/00035.DAT,../macros_thermocalc/macro_1.tcm,0.0,1e-06,0.00750075,0.015000499999999998,1e-06
../results/00036.DAT,../macros_thermocalc/macro_1.tcm,0.0,1e-06,0.00750075,0.015000499999999998,0.00750075
../results/00037.DAT,../macros_thermocalc/macro_1.tcm,0.0,1e-06,0.00750075,0.015000499999999998,0.015000499999999998
../results/00038.DAT,../macros_thermocalc/macro_1.tcm,0.0,1e-06,0.00750075,0.015000499999999998,0.02250025
../results/00039.DAT,../macros_thermocalc/macro_1.tcm,0.0,1e-06,0.00750075,0.015000499999999998,0.03
../results/00040.DAT,../macros_thermocalc/macro_1.tcm,0.0,1e-06,0.00750075,0.02250025,1e-06
../results/00041.DAT,../macros_thermocalc/macro_1.tcm,0.0,1e-06,0.00750075,0.02250025,0.00750075
../results/00042.DAT,../macros_thermocalc/macro_1.tcm,0.0,1e-06,0.00750075,0.02250025,0.015000499999999998
../results/00043.DAT,../macros_thermocalc/macro_1.tcm,0.0,1e-06,0.00750075,0.02250025,0.02250025
../results/00044.DAT,../macros_thermocalc/macro_1.tcm,0.0,1e-06,0.00750075,0.02250025,0.03
../results/00045.DAT,../macros_thermocalc/macro_1.tcm,0.0,1e-06,0.00750075,0.03,1e-06
../results/00046.DAT,../macros_thermocalc/macro_1.tcm,0.0,1e-06,0.00750075,0.03,0.00750075
../results/00047.DAT,../macros_thermocalc/macro_1.tcm,0.0,1e-06,0.00750075,0.03,0.015000499999999998
../results/00048.DAT,../macros_thermocalc/macro_1.tcm,0.0,1e-06,0.00750075,0.03,0.02250025
../results/00049.DAT,../macros_thermocalc/macro_1.tcm,0.0,1e-06,0.00750075,0.03,0.03
../results/00050.DAT,../macros_thermocalc/macro_2.tcm,0.0,1e-06,0.015000499999999998,1e-06,1e-06
../results/00051.DAT,../macros_thermocalc/macro_2.tcm,0.0,1e-06,0.015000499999999998,1e-06,0.00750075
../results/00052.DAT,../macros_thermocalc/macro_2.tcm,0.0,1e-06,0.015000499999999998,1e-06,0.015000499999999998
../results/00053.DAT,../macros_thermocalc/macro_2.tcm,0.0,1e-06,0.015000499999999998,1e-06,0.02250025
../results/00054.DAT,../macros_thermocalc/macro_2.tcm,0.0,1e-06,0.015000499999999998,1e-06,0.03
../results/00055.DAT,../macros_thermocalc/macro_2.tcm,0.0,1e-06,0.015000499999999998,0.00750075,1e-06
