
 Phase Region for:
     CEMENTITE                     
     FCC_A1#1                      
 col-1=T, col-2=NP(CEMENTITE), col-3=NP(FCC_A1#1),
   1.17300E+03   1.83111E-02   9.81689E-01
   1.18300E+03   1.26535E-02   9.87346E-01
   1.19300E+03   6.82695E-03   9.93173E-01
   1.20300E+03   8.26813E-04   9.99173E-01
   1.20436E+03   0.00000E+00   1.00000E+00

 Phase Region for:
     FCC_A1#1                      
 col-1=T, col-2=NP(FCC_A1#1),
   1.20436E+03   1.00000E+00
   1.21300E+03   1.00000E+00
   1.22300E+03   1.00000E+00
   1.23300E+03   1.00000E+00
   1.24300E+03   1.00000E+00
   1.25300E+03   1.00000E+00
   1.26300E+03   1.00000E+00
   1.27300E+03   1.00000E+00
   1.28300E+03   1.00000E+00
   1.29300E+03   1.00000E+00
   1.30300E+03   1.00000E+00
   1.31300E+03   1.00000E+00
   1.32300E+03   1.00000E+00
   1.33300E+03   1.00000E+00
   1.34300E+03   1.00000E+00
   1.35300E+03   1.00000E+00
   1.36300E+03   1.00000E+00
   1.37300E+03   1.00000E+00
   1.38300E+03   1.00000E+00
   1.39300E+03   1.00000E+00
   1.40300E+03   1.00000E+00
   1.41300E+03   1.00000E+00
   1.42300E+03   1.00000E+00
   1.43300E+03   1.00000E+00
   1.44300E+03   1.00000E+00
   1.45300E+03   1.00000E+00
   1.46300E+03   1.00000E+00
   1.47300E+03   1.00000E+00
   1.47315E+03   1.00000E+00

 Phase Region for:
     CEMENTITE                     
     FCC_A1#1                      
 col-1=T, col-2=NP(CEMENTITE), col-3=NP(FCC_A1#1),
   1.17300E+03   1.83111E-02   9.81689E-01
   1.16300E+03   2.38040E-02   9.76196E-01
   1.15300E+03   2.91363E-02   9.70864E-01
   1.14300E+03   3.43122E-02   9.65688E-01
   1.13300E+03   3.93353E-02   9.60665E-01
   1.12300E+03   4.42092E-02   9.55791E-01
   1.11300E+03   4.89380E-02   9.51062E-01
   1.10300E+03   5.35248E-02   9.46475E-01
   1.09300E+03   5.79729E-02   9.42027E-01
   1.08300E+03   6.22855E-02   9.37715E-01
   1.07300E+03   6.64657E-02   9.33534E-01
   1.06300E+03   7.05166E-02   9.29483E-01
   1.05300E+03   7.44409E-02   9.25559E-01
   1.04300E+03   7.82416E-02   9.21758E-01
   1.03300E+03   8.19213E-02   9.18079E-01
   1.02300E+03   8.54827E-02   9.14517E-01
   1.01300E+03   8.89284E-02   9.11072E-01
   1.00469E+03   9.17046E-02   9.08295E-01

 Phase Region for:
     BCC_A2                        
     CEMENTITE                     
     FCC_A1#1                      
 col-1=T, col-2=NP(BCC_A2), col-3=NP(CEMENTITE), col-4=NP(FCC_A1#1),
   1.00469E+03   2.59412E-06   9.17048E-02   9.08293E-01
   1.00300E+03   4.30856E-02   9.53904E-02   8.61524E-01
   9.93000E+02   2.64883E-01   1.14346E-01   6.20771E-01
   9.83000E+02   4.36508E-01   1.28804E-01   4.34688E-01
   9.73000E+02   5.66322E-01   1.39394E-01   2.94284E-01
   9.63000E+02   6.63209E-01   1.46928E-01   1.89862E-01
   9.53000E+02   7.34921E-01   1.52166E-01   1.12912E-01
   9.43000E+02   7.87544E-01   1.55724E-01   5.67317E-02
   9.33000E+02   8.25687E-01   1.58072E-01   1.62406E-02
   9.27773E+02   8.41060E-01   1.58940E-01   0.00000E+00

 Phase Region for:
     BCC_A2                        
     CEMENTITE                     
 col-1=T, col-2=NP(BCC_A2), col-3=NP(CEMENTITE),
   9.27773E+02   8.41060E-01   1.58940E-01  NONE
   9.23000E+02   8.41027E-01   1.58973E-01  NONE
   9.13000E+02   8.40966E-01   1.59034E-01  NONE
   9.03000E+02   8.40912E-01   1.59088E-01  NONE
   8.93000E+02   8.40865E-01   1.59135E-01  NONE
   8.83000E+02   8.40825E-01   1.59175E-01  NONE
   8.73000E+02   8.40790E-01   1.59210E-01  NONE
   8.63000E+02   8.40759E-01   1.59241E-01  NONE
   8.53000E+02   8.40733E-01   1.59267E-01  NONE
   8.43000E+02   8.40711E-01   1.59289E-01  NONE
   8.33000E+02   8.40692E-01   1.59308E-01  NONE
   8.23000E+02   8.40675E-01   1.59325E-01  NONE
   8.13000E+02   8.40661E-01   1.59339E-01  NONE
   8.03000E+02   8.40649E-01   1.59351E-01  NONE
   7.93000E+02   8.40639E-01   1.59361E-01  NONE
   7.83000E+02   8.40630E-01   1.59370E-01  NONE
   7.73000E+02   8.40623E-01   1.59377E-01  NONE
   7.63000E+02   8.40617E-01   1.59383E-01  NONE
   7.53000E+02   8.40612E-01   1.59388E-01  NONE
   7.43000E+02   8.40608E-01   1.59392E-01  NONE
   7.33000E+02   8.40604E-01   1.59396E-01  NONE
   7.23000E+02   8.40601E-01   1.59399E-01  NONE
   7.13000E+02   8.40598E-01   1.59402E-01  NONE
   7.03000E+02   8.40596E-01   1.59404E-01  NONE
   6.93000E+02   8.40595E-01   1.59405E-01  NONE
   6.83000E+02   8.40593E-01   1.59407E-01  NONE
   6.73150E+02   8.40592E-01   1.59408E-01  NONE
